"DateTime","Hash Rate"
"2009-05-14 00:00:00",6909727.478518519
"2009-05-15 00:00:00",6760596.66962963
"2009-05-16 00:00:00",5915522.0859259255
"2009-05-17 00:00:00",6313204.242962963
"2009-05-18 00:00:00",5865811.816296296
"2009-05-19 00:00:00",4275083.188148148
"2009-05-20 00:00:00",5965232.355555556
"2009-05-21 00:00:00",4076242.109629629
"2009-05-22 00:00:00",3032326.4474074077
"2009-05-23 00:00:00",1590728.628148148
"2009-05-24 00:00:00",4971026.962962963
"2009-05-25 00:00:00",5418419.389629629
"2009-05-26 00:00:00",6213783.703703703
"2009-05-27 00:00:00",5915522.0859259255
"2009-05-28 00:00:00",4722475.614814814
"2009-05-29 00:00:00",5269288.5807407405
"2009-05-30 00:00:00",5418419.389629629
"2009-05-31 00:00:00",4772185.884444444
"2009-06-01 00:00:00",3529429.143703704
"2009-06-02 00:00:00",5517839.928888889
"2009-06-03 00:00:00",3529429.143703704
"2009-06-04 00:00:00",3280877.7955555557
"2009-06-05 00:00:00",1491308.088888889
"2009-06-06 00:00:00",1391887.5496296296
"2009-06-07 00:00:00",795364.314074074
"2009-06-08 00:00:00",4076242.109629629
"2009-06-09 00:00:00",4523634.536296296
"2009-06-10 00:00:00",4076242.109629629
"2009-06-11 00:00:00",4424213.997037037
"2009-06-12 00:00:00",4275083.188148148
"2009-06-13 00:00:00",3877401.0311111114
"2009-06-14 00:00:00",3579139.4133333336
"2009-06-15 00:00:00",4175662.6488888883
"2009-06-16 00:00:00",3529429.143703704
"2009-06-17 00:00:00",3927111.300740741
"2009-06-18 00:00:00",3976821.5703703705
"2009-06-19 00:00:00",4324793.457777778
"2009-06-20 00:00:00",3877401.0311111114
"2009-06-21 00:00:00",4026531.84
"2009-06-22 00:00:00",3777980.491851852
"2009-06-23 00:00:00",3777980.491851852
"2009-06-24 00:00:00",4722475.614814814
"2009-06-25 00:00:00",3380298.334814815
"2009-06-26 00:00:00",4473924.266666667
"2009-06-27 00:00:00",4175662.6488888883
"2009-06-28 00:00:00",2286672.4029629626
"2009-06-29 00:00:00",4125952.3792592594
"2009-06-30 00:00:00",4225372.918518518
"2009-07-01 00:00:00",3678559.9525925927
"2009-07-02 00:00:00",4125952.3792592594
"2009-07-03 00:00:00",4076242.109629629
"2009-07-04 00:00:00",4424213.997037037
"2009-07-05 00:00:00",3927111.300740741
"2009-07-06 00:00:00",4175662.6488888883
"2009-07-07 00:00:00",3430008.6044444446
"2009-07-08 00:00:00",3678559.9525925927
"2009-07-09 00:00:00",4275083.188148148
"2009-07-10 00:00:00",4026531.84
"2009-07-11 00:00:00",4125952.3792592594
"2009-07-12 00:00:00",3827690.7614814816
"2009-07-13 00:00:00",3877401.0311111114
"2009-07-14 00:00:00",3430008.6044444446
"2009-07-15 00:00:00",2236962.1333333333
"2009-07-16 00:00:00",3529429.143703704
"2009-07-17 00:00:00",2336382.6725925924
"2009-07-18 00:00:00",198841.0785185185
"2009-07-19 00:00:00",3479718.8740740744
"2009-07-20 00:00:00",3479718.8740740744
"2009-07-21 00:00:00",4076242.109629629
"2009-07-22 00:00:00",2982616.177777778
"2009-07-23 00:00:00",3777980.491851852
"2009-07-24 00:00:00",3628849.682962963
"2009-07-25 00:00:00",1590728.628148148
"2009-07-26 00:00:00",1043915.6622222221
"2009-07-27 00:00:00",3678559.9525925927
"2009-07-28 00:00:00",2038121.0548148146
"2009-07-29 00:00:00",944495.122962963
"2009-07-30 00:00:00",745654.0444444445
"2009-07-31 00:00:00",845074.5837037037
"2009-08-01 00:00:00",1391887.5496296296
"2009-08-02 00:00:00",1143336.2014814813
"2009-08-03 00:00:00",596523.2355555556
"2009-08-04 00:00:00",4026531.84
"2009-08-05 00:00:00",4324793.457777778
"2009-08-06 00:00:00",4473924.266666667
"2009-08-07 00:00:00",3976821.5703703705
"2009-08-08 00:00:00",3976821.5703703705
"2009-08-09 00:00:00",5020737.232592593
"2009-08-10 00:00:00",3728270.222222222
"2009-08-11 00:00:00",3479718.8740740744
"2009-08-12 00:00:00",3131746.986666667
"2009-08-13 00:00:00",4225372.918518518
"2009-08-14 00:00:00",3131746.986666667
"2009-08-15 00:00:00",1292467.0103703705
"2009-08-16 00:00:00",944495.122962963
"2009-08-17 00:00:00",845074.5837037037
"2009-08-18 00:00:00",497102.6962962963
"2009-08-19 00:00:00",894784.8533333334
"2009-08-20 00:00:00",1093625.9318518518
"2009-08-21 00:00:00",695943.7748148148
"2009-08-22 00:00:00",347971.8874074074
"2009-08-23 00:00:00",745654.0444444445
"2009-08-24 00:00:00",745654.0444444445
"2009-08-25 00:00:00",2485513.4814814813
"2009-08-26 00:00:00",2386092.942222222
"2009-08-27 00:00:00",1441597.8192592594
"2009-08-28 00:00:00",3728270.222222222
"2009-08-29 00:00:00",3877401.0311111114
"2009-08-30 00:00:00",4821896.154074074
"2009-08-31 00:00:00",4275083.188148148
"2009-09-01 00:00:00",3877401.0311111114
"2009-09-02 00:00:00",3280877.7955555557
"2009-09-03 00:00:00",3032326.4474074077
"2009-09-04 00:00:00",3181457.256296296
"2009-09-05 00:00:00",3777980.491851852
"2009-09-06 00:00:00",3380298.334814815
"2009-09-07 00:00:00",3877401.0311111114
"2009-09-08 00:00:00",3430008.6044444446
"2009-09-09 00:00:00",2684354.56
"2009-09-10 00:00:00",3330588.0651851855
"2009-09-11 00:00:00",3330588.0651851855
"2009-09-12 00:00:00",3430008.6044444446
"2009-09-13 00:00:00",3728270.222222222
"2009-09-14 00:00:00",3678559.9525925927
"2009-09-15 00:00:00",2187251.8637037035
"2009-09-16 00:00:00",3579139.4133333336
"2009-09-17 00:00:00",4175662.6488888883
"2009-09-18 00:00:00",3877401.0311111114
"2009-09-19 00:00:00",3678559.9525925927
"2009-09-20 00:00:00",3877401.0311111114
"2009-09-21 00:00:00",3430008.6044444446
"2009-09-22 00:00:00",1242756.7407407407
"2009-09-23 00:00:00",1789569.7066666668
"2009-09-24 00:00:00",4821896.154074074
"2009-09-25 00:00:00",4523634.536296296
"2009-09-26 00:00:00",4971026.962962963
"2009-09-27 00:00:00",4324793.457777778
"2009-09-28 00:00:00",4225372.918518518
"2009-09-29 00:00:00",4374503.727407407
"2009-09-30 00:00:00",4225372.918518518
"2009-10-01 00:00:00",4076242.109629629
"2009-10-02 00:00:00",3579139.4133333336
"2009-10-03 00:00:00",2883195.638518519
"2009-10-04 00:00:00",2634644.2903703703
"2009-10-05 00:00:00",2734064.8296296294
"2009-10-06 00:00:00",2137541.594074074
"2009-10-07 00:00:00",2982616.177777778
"2009-10-08 00:00:00",3479718.8740740744
"2009-10-09 00:00:00",3927111.300740741
"2009-10-10 00:00:00",3827690.7614814816
"2009-10-11 00:00:00",3678559.9525925927
"2009-10-12 00:00:00",2883195.638518519
"2009-10-13 00:00:00",2833485.3688888885
"2009-10-14 00:00:00",3430008.6044444446
"2009-10-15 00:00:00",3529429.143703704
"2009-10-16 00:00:00",2982616.177777778
